Patch;Eclairage;L;a;b
Patch 1;B1;13.31783277109098;-0.936148560809591;0.35691464783159654
Patch 1;B2;13.415492473025196;-0.8936699442998741;0.35668024888667604
Patch 1;C;13.606723690138391;0.21925920487184114;0.4038273516572377
Patch 1;DR1;15.236987028616714;0.07797586403410217;3.7557580321712303
Patch 1;DR2;15.322202721632046;0.25844935030580607;3.8399863192854267
Patch 1;FR1;15.315236598352897;0.5501680761398897;3.811542457394934
Patch 1;FR2;14.629633818187848;1.9403805179233902;2.6622412500118986
Patch 1;FR3;14.5101538694149;1.8058087526392486;2.423256190877976
Patch 1;G1;13.743617491938895;0.7196798642023217;0.41199760376050554
Patch 1;G2;13.832070926467903;0.6362012848888376;0.4491896535251949
Patch 1;L;14.087400284059697;1.1415711516661875;1.0656306344458022
Patch 1;OR;14.68496999542409;0.09298393160633855;1.6156268919741978
Patch 1;PC_A;14.38561683966919;0.5399126993799186;1.866180486599367
Patch 1;R1;14.81471039180665;0.0801039618187338;2.3587869892465863
Patch 1;R2;14.993519457468743;0.05900397424046799;3.097413434274232
Patch 1;RB1;13.124576814677052;-0.17933953472168418;0.08376619989793888
Patch 1;RB2;13.123926788100803;-0.4747056278054662;0.19722865047616667
Patch 1;V1;13.47011950427235;-2.509373290349032;1.0573644638847024
Patch 1;V2;13.28716885495059;-1.067020249065298;0.4440141457224156
Patch 2;B1;35.23779828528589;10.34401406576102;-4.002661687845133
Patch 2;B2;33.88502302142298;12.424062602450075;-4.966662043993598
Patch 2;C;30.413327679796076;0.5627419495757569;-6.925962745303204
Patch 2;DR1;25.531990098934152;0.1611309352193835;-21.908122313171376
Patch 2;DR2;25.554818767540333;0.15619520112472585;-21.29871762726111
Patch 2;FR1;25.774664627279684;0.25452297511252553;-20.49555213620652
Patch 2;FR2;26.17073787350715;2.6971073083756347;-19.8159359130903
Patch 2;FR3;26.00168901080236;3.3881341981135957;-20.512015901503446
Patch 2;G1;27.968531761491214;-7.60137786084622;-7.06933326904945
Patch 2;G2;26.72525214306694;-5.693895773462132;-7.147762755344889
Patch 2;L;25.31576437264708;-4.297489854286046;-13.080265529638346
Patch 2;OR;23.88837524038997;0.002749149338121537;-15.355515857035329
Patch 2;PC_A;24.046998739918905;0.01576116891571777;-20.7336343935723
Patch 2;R1;24.122618604117704;0.09875419743146652;-20.02956797647687
Patch 2;R2;24.758053986831577;0.17547233746720292;-22.210569925914868
Patch 2;RB1;38.267050266278275;4.591803023625274;-1.8560804353367266
Patch 2;RB2;37.330270827585004;6.199441718922949;-2.4413713043499596
Patch 2;V1;32.73960233004175;20.06934116023687;-8.457436956553256
Patch 2;V2;36.43452765453109;10.645306200090133;-4.420389363657817
Patch 3;B1;45.071176889762754;16.886214229518025;-6.493176223695607
Patch 3;B2;42.847447172928256;20.24236053016393;-8.002029745175165
Patch 3;C;37.22897315471611;1.5289464051760349;-11.110627687716178
Patch 3;DR1;26.337608551606273;0.14163348236284623;-40.570963443192184
Patch 3;DR2;26.44966936071421;-0.16689640259237581;-39.40483793111509
Patch 3;FR1;26.871572670909444;-0.5306530988826996;-37.963115418187265
Patch 3;FR2;28.503384489588242;0.7055575710962769;-35.23499907784128
Patch 3;FR3;28.424585055616554;2.0449433022655117;-35.8359612561295
Patch 3;G1;33.20194228490618;-13.408983362913073;-11.595322476113534
Patch 3;G2;31.05644274233302;-10.619527723236267;-12.031884499897505
Patch 3;L;28.192746863727713;-10.172041980360842;-22.62336811420955
Patch 3;OR;24.47876134818351;-0.06814402641999728;-28.531360912911897
Patch 3;PC_A;25.201503853943983;-1.1018470176140382;-36.837341589280456
Patch 3;R1;24.716623528559822;0.07644386656002755;-36.36796754640601
Patch 3;R2;25.439690067693483;0.18483646683706279;-40.32307017219343
Patch 3;RB1;49.940099557709885;6.654191098093232;-2.7041794707958644
Patch 3;RB2;48.53763119514829;9.696512071334096;-3.8203577080957674
Patch 3;V1;40.89497443276545;29.9023445225535;-12.625371614862335
Patch 3;V2;46.75739695059034;15.416819702054664;-6.421880910986144
Patch 4;B1;54.103954921913214;25.374458598963646;-9.639643873135206
Patch 4;B2;50.76787839009263;30.22840518342218;-11.701603927112302
Patch 4;C;42.760528058699016;5.121860749257023;-15.627097644805609
Patch 4;DR1;27.314982865871734;0.15818099107967054;-58.77661386575633
Patch 4;DR2;27.502527555049355;-0.3183397615332262;-56.92693487205547
Patch 4;FR1;28.078885645757424;-0.9709566074798115;-54.85622469062649
Patch 4;FR2;30.63829899979517;0.5440858958798145;-50.651853340054295
Patch 4;FR3;30.61341145677266;2.8463545333879123;-51.35134675649993
Patch 4;G1;37.24137138514044;-17.49520609429772;-16.076100438996942
Patch 4;G2;34.33903813812737;-14.117660685314808;-16.731204431599732
Patch 4;L;30.52665526002221;-14.077273286144859;-31.830037607134344
Patch 4;OR;25.26485151175629;-0.11637828537075512;-41.888295755841156
Patch 4;PC_A;26.327626145133962;-1.6691939666869104;-53.041044924228906
Patch 4;R1;25.500731567357946;0.06365462200982885;-52.672265753950576
Patch 4;R2;26.296250831767566;0.1997728868368409;-58.10225731204994
Patch 4;RB1;61.649322550503214;9.286823484327854;-3.7616150973329043
Patch 4;RB2;59.47917759222207;14.344631451656875;-5.611697505022772
Patch 4;V1;48.87184259113316;40.30421120701616;-16.99706945854309
